IP,OpenPorts,OSType
152.157.64.107,"21,22,23,25,80,110,139,443,445,3389",Virtualbox
152.157.64.155,"21,22,23,25,80,110,139,443,445,3389",Virtualbox
152.157.64.4,"21,22,23,25,80,110,139,443,445,3389",Virtualbox
152.157.64.5,"21,22,23,25,80,110,139,443,445,3389",Virtualbox
152.157.64.88,"21,22,23,25,80,110,139,443,445,3389",Virtualbox
152.157.65.10,"21,22,23,25,80,110,139,443,445,3389",Virtualbox
152.157.65.15,"21,22,23,25,80,110,139,443,445,3389",Virtualbox
152.157.65.22,"21,22,23,25,80,110,139,443,445,3389",Virtualbox
152.157.65.23,"21,22,23,25,80,110,139,443,445,3389",Virtualbox
152.157.65.24,"21,22,23,25,80,110,139,443,445,3389",Virtualbox
